Alpha_0.2,Alpha_0.4,Alpha_0.6,Alpha_0.8
99,61,85,28
39,17,66,34
96,17,76,42
84,55,46,11
96,116,36,13
95,46,53,11
112,5,22,38
37,61,42,15
93,13,66,26
22,44,37,25
106,56,63,23
106,19,35,28
95,30,61,45
19,47,80,14
90,15,21,45
89,60,75,27
3,18,43,16
91,50,77,50
81,23,90,27
100,52,56,35
98,58,43,28
92,54,40,12
105,70,81,15
24,230,38,25
92,50,87,34
93,186,62,15
84,74,55,14
12,40,70,15
15,34,72,11
20,4,71,11
91,205,40,48
93,69,38,24
55,58,44,23
88,55,53,26
90,61,46,18
91,56,82,34
88,44,59,7
92,48,68,9
65,16,89,17
89,67,68,36
99,65,52,26
106,266,66,9
2,134,17,32
94,4,74,26
82,78,68,16
100,72,40,30
95,6,89,45
102,49,69,43
99,57,64,51
112,61,22,23
98,32,65,26
100,58,70,5
96,9,71,26
97,7,63,19
103,134,77,41
7,41,9,45
97,216,9,20
98,45,52,30
100,88,86,25
31,52,77,28
91,46,45,17
97,56,17,38
96,14,36,12
25,70,83,17
103,177,44,16
91,59,70,45
15,51,60,19
103,53,95,39
95,59,72,20
48,25,76,19
17,121,29,44
38,36,55,18
91,7,72,29
93,15,47,35
100,53,86,26
17,10,89,19
103,127,19,15
95,42,68,25
16,59,44,21
100,40,63,51
92,6,11,28
43,28,63,15
99,169,16,35
103,202,67,41
21,121,61,19
9,53,29,39
19,19,71,15
101,38,64,34
67,11,4,54
100,53,80,27
77,76,73,19
90,54,85,19
102,84,83,54
103,109,43,19
18,32,76,49
95,54,73,39
99,131,40,31
107,217,19,23
21,8,21,20
99,55,84,10
62,9,77,19
100,19,66,18
21,13,86,15
22,18,85,30
93,52,54,13
45,70,96,10
88,32,89,47
101,16,49,19
82,53,63,18
100,54,68,24
84,12,49,15
15,6,10,15
100,69,86,18
94,80,8,20
45,14,72,8
75,138,31,40
98,18,30,30
95,73,78,43
96,37,15,33
101,27,24,20
64,41,55,7
103,46,50,7
100,5,64,24
18,52,75,29
107,103,34,17
20,31,73,16
93,12,88,23
101,7,71,19
111,18,76,36
8,48,71,16
45,42,34,18
94,65,78,38
14,48,24,25
107,67,28,40
7,13,78,61
92,71,71,36
93,65,68,26
95,55,51,34
103,56,88,27
102,53,86,14
84,5,69,33
91,121,89,20
104,43,35,27
103,62,76,34
24,141,73,33
84,66,64,13
93,67,88,20
95,47,48,44
100,157,64,12
13,52,84,20
58,11,16,24
17,6,62,9
99,57,65,29
101,12,62,15
96,38,18,37
92,135,46,35
82,399,78,17
97,69,6,21
113,45,7,31
91,50,15,34
77,15,39,30
100,14,27,29
96,43,66,31
102,56,52,19
93,63,61,37
10,11,74,31
8,12,66,25
20,99,71,22
89,37,71,26
95,9,45,45
108,61,58,19
36,225,30,14
76,68,68,11
94,62,88,16
96,8,59,19
102,7,79,4
93,7,65,26
100,19,46,19
105,59,66,52
90,65,22,10
77,61,72,30
102,107,22,11
100,46,62,38
11,29,66,52
88,29,84,6
97,55,18,26
99,72,60,14
19,7,15,16
91,6,64,23
100,73,65,16
25,5,66,7
90,41,11,31
16,10,61,13
111,19,74,30
99,46,86,16
97,59,41,17
99,58,70,29
96,14,3,17
85,195,35,24
22,99,51,19
100,101,45,20
19,47,75,34
99,38,45,37
102,20,77,21
30,49,21,13
112,69,51,32
85,35,60,32
95,32,84,39
21,41,55,11
91,18,79,14
69,110,58,34
15,52,38,38
14,30,85,19
90,3,63,17
13,6,37,30
94,45,33,31
100,56,69,20
94,220,71,6
92,48,70,16
32,61,33,23
97,105,14,18
85,9,36,20
93,144,78,17
91,113,83,60
93,42,53,33
103,61,66,53
91,65,10,19
3,12,37,39
102,8,19,45
103,10,68,37
89,76,66,20
13,3,66,29
13,7,46,20
9,58,74,16
98,42,50,24
23,17,57,13
94,24,36,8
95,55,93,6
13,61,47,19
103,11,83,35
100,46,85,6
102,60,62,6
96,82,81,31
109,47,58,7
89,8,72,18
13,54,59,31
96,12,78,40
84,38,68,48
100,49,81,23
92,41,80,40
92,47,11,19
16,51,24,22
2,45,56,23
25,24,70,7
96,65,77,18
32,47,63,14
103,267,68,23
22,8,70,19
20,51,85,11
11,11,70,19
17,55,22,20
90,53,16,21
89,59,15,19
99,56,54,5
99,41,16,21
78,6,63,48
103,58,41,43
106,61,66,19
8,50,16,29
11,120,91,32
104,38,94,15
15,11,48,15
96,62,31,16
101,108,50,35
99,69,61,31
91,59,67,34
89,65,72,25
14,20,10,39
25,6,4,24
22,15,25,23
100,53,82,7
14,115,75,18
92,17,69,33
10,2,61,5
95,77,81,18
88,87,70,28
91,57,81,19
17,7,44,34
97,12,67,9
19,50,62,47
93,6,68,20
8,15,64,13
76,41,50,20
77,22,62,35
97,65,85,16
15,36,61,22
99,5,42,35
16,8,12,20
19,58,14,14
106,95,86,40
106,49,79,28
90,46,10,41
103,12,32,15
99,21,47,52
94,37,73,52
75,97,79,28
100,50,26,5
95,12,24,19
15,71,87,8
97,53,66,30
85,53,60,30
98,11,76,17
92,3,68,19
89,12,72,37
101,10,50,14
96,63,76,35
97,62,48,30
105,135,22,42
58,45,3,19
7,221,74,28
89,30,39,20
91,415,69,28
98,64,80,43
91,76,53,26
99,11,76,10
107,12,84,28
103,13,92,37
6,9,64,20
84,16,12,36
104,26,45,19
88,132,54,10
19,14,42,21
89,44,19,8
77,15,74,5
103,71,9,20
100,188,20,4
96,42,86,28
113,218,85,20
94,22,66,22
21,51,81,20
16,19,88,19
94,17,85,18
95,11,59,10
105,51,72,25
91,113,32,18
90,5,30,51
2,11,73,12
97,79,53,19
93,8,44,28
95,56,71,19
73,61,74,35
89,161,68,16
96,27,65,6
23,68,80,24
23,58,76,35
103,60,85,13
95,20,82,20
29,72,100,25
88,57,82,16
93,56,75,31
21,114,34,16
101,60,61,21
25,21,73,44
94,2,75,34
96,6,44,10
78,44,13,12
34,39,89,15
78,53,16,28
20,20,4,4
21,51,44,19
3,23,13,18
95,60,26,28
84,3,78,31
15,10,5,27
92,48,49,37
23,74,13,23
84,47,90,18
22,45,85,33
105,59,88,42
94,115,45,19
78,156,95,23
89,25,48,14
50,14,20,15
16,25,72,35
99,17,79,10
99,12,42,42
96,97,45,15
92,76,78,32
88,19,67,42
55,49,82,6
31,42,77,58
99,58,49,20
103,54,69,19
96,17,25,16
30,8,82,19
5,6,63,23
91,57,54,24
79,226,80,23
102,59,63,13
96,46,59,31
94,56,79,19
10,57,56,50
93,90,89,18
25,143,22,23
93,20,20,11
27,4,78,29
24,2,75,19
92,5,7,19
19,45,16,23
91,52,79,20
32,45,70,21
84,76,63,51
94,60,14,10
98,62,66,32
97,23,77,46
95,56,30,20
99,6,10,17
88,64,26,35
93,152,59,12
108,15,79,16
96,57,4,37
76,55,63,21
107,46,81,24
92,215,82,34
86,47,73,26
16,58,35,17
15,16,44,29
25,11,70,19
17,24,65,8
92,6,78,38
92,5,72,22
82,304,77,43
99,43,70,35
100,21,72,16
96,39,84,18
88,110,83,20
20,21,71,40
85,3,37,15
103,52,35,26
9,9,30,32
22,37,22,20
97,60,90,16
107,3,72,39
102,11,88,34
100,328,57,50
84,151,75,27
101,40,50,30
4,24,73,40
98,11,81,28
95,55,58,26
103,8,40,23
102,49,65,35
96,58,76,19
9,64,38,28
92,50,74,15
90,12,61,26
84,70,55,34
89,60,46,6
35,60,82,24
98,3,69,47
95,55,60,31
98,57,67,21
103,12,24,22
