All Equal,Two Opposing,Porisitive Dominant,Negative Dominant,50% Moderates,75% Moderates,90% Moderates
0.73,0.62,0.57,0.53,0.81,0.89,0.94
0.69,0.62,0.51,0.57,0.8,0.89,0.94
0.76,0.65,0.55,0.51,0.81,0.89,0.93
0.75,0.59,0.53,0.57,0.82,0.89,0.94
0.77,0.63,0.58,0.57,0.79,0.88,0.94
0.77,0.65,0.52,0.59,0.81,0.88,0.94
0.75,0.62,0.52,0.57,0.81,0.9,0.94
0.74,0.63,0.57,0.56,0.79,0.88,0.94
0.76,0.57,0.56,0.52,0.81,0.89,0.95
0.76,0.59,0.51,0.56,0.8,0.89,0.94
0.75,0.61,0.54,0.52,0.81,0.88,0.94
0.75,0.64,0.54,0.54,0.79,0.88,0.94
0.75,0.64,0.56,0.55,0.8,0.89,0.94
0.75,0.57,0.58,0.52,0.8,0.89,0.94
0.73,0.64,0.53,0.58,0.79,0.88,0.95
0.77,0.64,0.54,0.51,0.79,0.89,0.94
0.72,0.62,0.56,0.53,0.79,0.89,0.94
0.71,0.64,0.57,0.52,0.81,0.89,0.94
0.76,0.63,0.53,0.57,0.81,0.89,0.94
0.76,0.63,0.5,0.51,0.8,0.87,0.94
0.77,0.63,0.6,0.52,0.83,0.89,0.94
0.76,0.63,0.52,0.57,0.81,0.89,0.95
0.76,0.63,0.56,0.53,0.79,0.88,0.94
0.74,0.63,0.57,0.56,0.8,0.88,0.94
0.76,0.64,0.52,0.54,0.82,0.9,0.94
0.76,0.63,0.6,0.52,0.8,0.9,0.94
0.73,0.64,0.58,0.54,0.79,0.87,0.94
0.76,0.63,0.6,0.57,0.82,0.88,0.94
0.72,0.62,0.53,0.53,0.78,0.9,0.95
0.76,0.63,0.51,0.51,0.81,0.89,0.94
0.77,0.64,0.59,0.53,0.8,0.89,0.94
0.76,0.58,0.53,0.58,0.79,0.9,0.95
0.77,0.64,0.52,0.56,0.82,0.89,0.94
0.75,0.63,0.53,0.52,0.8,0.88,0.94
0.71,0.62,0.51,0.52,0.79,0.87,0.94
0.75,0.63,0.54,0.52,0.81,0.9,0.94
0.73,0.63,0.54,0.53,0.8,0.89,0.94
0.7,0.64,0.52,0.56,0.81,0.9,0.94
0.74,0.62,0.57,0.52,0.8,0.87,0.94
0.73,0.64,0.58,0.52,0.79,0.88,0.94
0.76,0.57,0.58,0.57,0.81,0.9,0.94
0.77,0.63,0.57,0.51,0.81,0.9,0.94
0.76,0.64,0.57,0.54,0.82,0.89,0.95
0.72,0.65,0.58,0.52,0.81,0.89,0.95
0.71,0.63,0.56,0.55,0.8,0.9,0.94
0.72,0.58,0.56,0.52,0.81,0.89,0.95
0.74,0.64,0.53,0.5,0.8,0.89,0.94
0.73,0.65,0.51,0.53,0.8,0.89,0.94
0.75,0.63,0.56,0.57,0.81,0.89,0.95
0.73,0.64,0.52,0.55,0.81,0.89,0.95
0.76,0.63,0.53,0.52,0.78,0.89,0.94
0.75,0.63,0.53,0.53,0.81,0.9,0.94
0.72,0.63,0.51,0.51,0.79,0.89,0.94
