All Equal,Two Opposing,Porisitive Dominant,Negative Dominant,50% Moderates,75% Moderates,90% Moderates
41,59,8,3,88,11,2
6,59,2,5,60,16,2
57,57,4,2,47,8,3
55,19,2,6,55,8,2
83,67,11,6,25,2,3
66,59,2,16,48,7,3
78,55,2,13,56,10,2
55,85,6,4,32,3,2
68,9,6,2,46,7,5
67,12,2,5,44,14,2
66,29,4,2,62,3,2
63,72,4,4,20,7,2
59,68,4,4,43,5,2
52,11,16,2,32,5,3
44,89,2,5,44,4,5
69,55,3,2,17,7,6
16,56,5,2,36,10,2
6,73,8,2,37,15,2
79,57,2,11,37,13,4
70,74,2,2,36,2,3
53,43,16,2,59,15,2
81,68,2,14,59,21,8
75,74,4,2,28,3,2
52,70,18,7,70,13,2
36,50,2,3,36,16,3
79,50,21,2,31,10,2
29,65,15,4,17,2,3
70,62,21,6,54,2,2
23,69,3,2,17,24,7
53,53,2,2,33,16,2
73,68,15,3,32,10,2
71,5,2,9,16,20,3
58,68,2,4,62,7,4
63,76,2,2,53,7,2
18,68,2,2,28,2,2
60,66,3,2,54,16,3
45,81,3,2,61,21,2
9,70,2,5,49,16,2
37,67,11,2,52,2,2
21,48,9,2,19,7,8
41,9,6,5,42,21,2
68,60,6,2,26,27,2
59,68,4,2,59,15,5
16,84,13,2,46,10,6
15,74,5,4,60,25,2
24,13,6,2,37,4,4
29,68,3,2,44,18,2
29,85,2,3,33,16,2
43,56,5,6,46,4,5
24,80,2,5,52,7,4
70,65,2,2,14,7,2
66,67,2,2,63,10,2
35,61,2,2,37,18,2
56,60,5,2,26,23,2
57,63,30,10,25,9,2
45,78,4,15,60,7,2
67,23,3,2,48,17,2
69,25,6,5,51,2,2
67,71,2,2,53,4,5
62,68,5,2,59,3,2
26,50,16,2,46,10,2
65,17,2,2,40,13,6
37,78,4,6,50,4,3
40,71,9,2,6,2,2
48,88,2,2,38,7,2
32,85,4,2,50,7,2
60,55,2,2,28,15,7
54,83,13,2,32,8,2
57,54,2,15,46,11,2
35,65,2,2,28,21,7
13,66,2,2,59,24,6
26,70,18,2,45,9,6
70,57,6,5,31,13,5
10,26,2,4,35,16,7
45,73,8,5,56,14,4
67,63,5,2,52,2,4
13,32,9,2,54,5,4
70,68,4,2,25,2,4
57,69,2,2,3,24,2
52,52,3,13,44,4,2
