Alpha_0.2,Alpha_0.4,Alpha_0.6,Alpha_0.8
0.6,0.63,0.66,0.72
0.55,0.55,0.64,0.68
0.57,0.62,0.65,0.69
0.58,0.57,0.65,0.7
0.6,0.62,0.65,0.69
0.57,0.6,0.64,0.69
0.6,0.63,0.66,0.7
0.59,0.61,0.65,0.71
0.4,0.63,0.65,0.7
0.58,0.65,0.67,0.72
0.56,0.62,0.65,0.69
0.58,0.59,0.64,0.72
0.61,0.62,0.64,0.7
0.6,0.63,0.66,0.7
0.59,0.61,0.64,0.69
0.58,0.6,0.64,0.72
0.62,0.55,0.67,0.7
0.58,0.61,0.65,0.69
0.58,0.62,0.65,0.69
0.6,0.62,0.65,0.69
0.59,0.63,0.66,0.71
0.59,0.58,0.66,0.71
0.57,0.5,0.64,0.69
0.55,0.59,0.64,0.68
0.62,0.61,0.65,0.69
0.61,0.64,0.66,0.69
0.61,0.63,0.67,0.7
0.61,0.63,0.67,0.71
0.59,0.62,0.66,0.7
0.56,0.59,0.64,0.69
0.56,0.62,0.66,0.69
0.59,0.62,0.65,0.69
0.63,0.64,0.67,0.71
0.61,0.63,0.64,0.7
0.57,0.49,0.65,0.69
0.58,0.56,0.65,0.71
0.62,0.62,0.63,0.71
0.57,0.63,0.65,0.69
0.59,0.62,0.65,0.7
0.62,0.64,0.66,0.71
0.6,0.64,0.65,0.7
0.59,0.64,0.67,0.71
0.62,0.64,0.66,0.7
0.59,0.62,0.65,0.7
0.62,0.66,0.65,0.71
0.58,0.62,0.65,0.69
0.62,0.6,0.64,0.7
0.59,0.64,0.66,0.7
0.6,0.63,0.63,0.7
0.58,0.6,0.66,0.71
0.58,0.62,0.64,0.68
0.6,0.62,0.66,0.69
0.59,0.62,0.64,0.69
0.61,0.59,0.68,0.71
0.59,0.63,0.62,0.69
0.61,0.63,0.66,0.71
0.57,0.62,0.66,0.71
0.57,0.62,0.65,0.7
0.62,0.61,0.66,0.71
0.57,0.63,0.65,0.69
0.58,0.64,0.66,0.7
0.63,0.53,0.66,0.72
0.46,0.6,0.63,0.7
0.6,0.65,0.66,0.7
0.57,0.54,0.65,0.68
0.59,0.62,0.67,0.71
0.58,0.63,0.66,0.7
0.59,0.62,0.67,0.72
0.59,0.62,0.66,0.7
0.6,0.62,0.65,0.69
0.55,0.52,0.64,0.7
0.58,0.63,0.67,0.72
0.58,0.62,0.65,0.7
0.59,0.62,0.64,0.69
0.59,0.61,0.66,0.69
0.56,0.63,0.65,0.69
0.59,0.62,0.65,0.7
0.59,0.63,0.66,0.7
0.59,0.53,0.66,0.7
0.58,0.6,0.63,0.69
0.6,0.62,0.65,0.69
0.62,0.63,0.67,0.7
0.59,0.64,0.65,0.7
0.6,0.63,0.65,0.69
0.58,0.63,0.66,0.71
0.55,0.63,0.67,0.71
0.59,0.64,0.67,0.7
0.59,0.51,0.66,0.71
0.58,0.54,0.65,0.7
0.58,0.63,0.65,0.68
0.58,0.62,0.65,0.69
0.58,0.5,0.65,0.68
0.6,0.63,0.65,0.7
0.55,0.6,0.64,0.69
0.54,0.57,0.64,0.71
0.61,0.63,0.67,0.71
0.58,0.63,0.65,0.69
0.56,0.65,0.67,0.7
0.6,0.63,0.66,0.7
0.58,0.61,0.64,0.68
0.42,0.52,0.67,0.71
0.61,0.64,0.67,0.7
0.61,0.63,0.64,0.7
0.57,0.6,0.64,0.69
0.57,0.56,0.64,0.69
0.61,0.63,0.67,0.71
0.58,0.62,0.65,0.7
0.57,0.6,0.64,0.68
0.57,0.62,0.65,0.71
0.54,0.59,0.64,0.67
