LC_0.2,LC_0.4,LC_0.6,LC_0.8
65,65,64,27
48,16,71,47
50,69,80,62
65,31,78,49
68,69,69,42
43,43,44,64
57,71,75,58
65,57,54,54
5,75,58,69
38,76,76,38
44,78,78,78
45,30,9,18
68,67,42,42
52,64,61,66
54,51,51,63
56,58,66,17
64,13,75,63
53,63,81,67
53,62,63,80
68,66,67,67
53,67,68,58
61,29,81,65
54,6,65,65
51,51,54,69
104,67,55,88
69,79,77,71
70,70,83,78
69,56,77,51
53,66,62,67
46,49,79,49
42,60,75,70
50,47,57,58
70,65,74,70
65,68,41,48
54,3,67,68
58,20,53,71
68,52,17,52
45,71,70,70
51,55,62,71
78,75,57,56
53,79,52,68
41,65,60,66
62,70,70,65
53,62,66,65
58,73,36,72
66,84,55,55
80,37,29,53
59,88,68,75
70,70,12,70
57,43,69,37
59,73,67,65
69,57,75,73
60,83,49,52
67,29,79,50
53,81,15,73
62,63,62,61
46,54,60,59
44,54,54,59
65,35,35,93
45,74,60,59
42,74,53,53
73,5,47,47
13,48,32,65
52,81,56,79
56,16,78,77
61,61,87,49
49,64,65,65
54,54,53,62
62,68,77,63
65,70,65,70
38,7,20,44
45,65,64,65
48,65,81,76
66,77,33,71
66,66,82,61
47,91,61,61
58,68,76,39
50,69,69,41
63,6,67,63
60,60,50,53
60,60,69,69
69,63,77,66
56,83,67,42
63,71,71,62
52,78,87,47
32,68,56,65
51,70,70,60
51,4,65,67
52,8,58,87
46,74,83,71
47,74,83,68
49,4,70,70
68,84,67,73
44,52,64,52
44,44,55,24
70,70,87,73
39,59,57,63
34,77,79,79
64,68,68,84
56,64,61,64
5,5,61,56
54,74,74,57
72,65,31,88
49,54,56,56
66,26,75,74
69,53,74,54
55,58,58,58
61,62,66,66
44,62,62,27
43,52,83,60
55,72,72,77
54,30,54,70
56,47,50,52
70,70,69,78
54,70,19,19
39,53,53,38
42,10,56,61
45,41,92,88
80,70,79,65
54,75,20,75
58,59,73,45
91,58,58,74
27,27,27,66
67,59,76,70
43,43,66,76
54,59,53,70
29,76,9,63
15,50,74,75
54,51,49,54
48,77,68,57
64,65,53,53
60,65,49,64
64,67,74,66
72,75,66,63
56,85,42,80
34,27,38,57
45,74,75,68
54,69,69,55
52,58,58,40
65,66,27,68
53,48,66,66
42,75,54,68
63,70,76,65
76,29,53,71
55,73,51,71
50,56,69,67
65,65,65,55
50,50,46,68
60,68,6,67
68,68,64,68
58,50,50,59
50,74,73,63
41,47,27,19
50,65,65,8
66,70,11,62
53,6,68,63
71,68,66,52
88,70,37,65
50,14,79,72
60,43,71,70
65,72,72,46
70,60,80,57
69,68,68,72
55,71,63,77
42,69,70,69
62,62,63,69
53,53,66,52
44,70,66,71
54,62,69,62
42,65,65,78
40,59,7,62
46,49,12,70
47,65,67,76
44,77,74,57
12,73,65,67
67,48,38,53
68,64,33,56
65,74,69,50
66,66,69,66
44,62,35,68
57,70,71,71
56,50,50,71
63,59,14,65
57,67,65,65
70,71,53,44
97,92,60,61
48,74,75,73
60,63,61,80
46,52,67,67
74,70,75,56
54,51,83,57
46,54,63,71
47,54,53,60
70,70,62,68
53,84,64,68
62,62,56,55
60,60,47,66
52,52,52,52
64,50,49,78
48,10,76,54
52,49,43,64
46,29,61,47
54,62,71,59
41,14,23,67
73,73,73,70
58,12,63,65
6,59,70,39
65,77,77,72
38,77,79,78
58,74,61,81
69,69,65,66
55,62,66,56
60,59,69,67
67,6,12,66
58,42,42,59
54,82,83,70
48,76,24,71
53,77,54,67
11,61,64,64
39,6,79,80
12,53,80,38
30,44,66,60
53,37,50,66
38,7,66,66
52,54,54,54
54,55,55,65
58,60,60,60
56,33,33,71
84,60,12,33
49,49,49,49
69,53,78,69
67,67,59,76
54,69,16,57
43,19,19,60
49,80,95,84
49,65,22,49
51,51,50,50
52,63,63,31
44,84,42,60
32,78,78,55
53,52,79,53
64,61,3,53
62,62,62,68
10,55,56,67
60,6,69,64
65,68,68,68
56,74,53,56
71,70,15,59
67,61,12,81
53,69,73,76
62,18,16,63
9,80,66,69
65,74,58,86
61,69,69,70
57,53,70,43
75,81,73,76
59,6,65,65
32,47,44,44
49,65,65,71
24,69,71,55
70,65,77,78
57,30,65,53
57,64,7,52
53,56,89,79
48,88,70,69
71,80,70,76
42,55,64,50
55,49,45,55
38,66,70,29
62,70,60,69
51,86,27,54
65,65,65,47
52,25,63,63
45,57,23,57
48,93,72,64
71,69,64,39
55,82,70,82
73,82,22,54
53,44,68,75
66,37,69,68
6,78,96,56
48,58,67,60
60,69,73,69
76,79,76,68
60,72,22,71
72,69,71,76
63,17,13,65
67,67,67,56
55,74,67,80
60,59,70,59
41,44,5,44
64,80,72,53
54,88,60,54
92,15,37,38
11,72,77,53
23,72,68,64
42,60,39,82
21,62,58,56
26,68,75,75
55,65,36,71
44,60,56,67
53,20,41,76
48,57,57,67
48,81,78,61
65,70,79,80
65,55,57,102
71,58,50,60
62,8,70,32
53,60,65,62
52,59,59,51
46,11,54,20
50,75,64,65
64,75,38,51
64,77,92,49
50,69,69,69
67,67,76,19
49,71,64,65
71,44,68,38
66,64,56,61
50,62,78,82
39,65,72,72
28,60,40,59
54,70,30,22
33,63,69,72
35,70,68,27
6,45,80,49
73,73,22,67
52,48,64,65
54,65,68,69
64,65,70,47
42,70,75,75
42,18,42,67
53,58,79,40
67,86,87,44
48,24,66,65
55,57,70,34
64,69,69,38
49,25,61,64
58,50,59,70
60,67,73,70
69,7,67,68
23,50,53,74
70,71,67,66
60,40,86,71
63,65,72,58
25,57,57,68
35,8,64,64
56,63,53,52
55,51,64,72
42,25,65,65
72,82,72,72
67,67,67,67
74,65,62,56
51,54,63,63
61,62,55,77
48,64,5,68
59,53,62,83
53,65,68,65
71,67,76,36
54,64,31,57
69,74,79,55
69,69,72,65
32,63,31,41
53,64,64,67
56,70,69,68
46,70,66,78
40,8,8,44
57,5,70,65
56,72,77,74
32,15,22,65
54,63,71,60
26,65,13,13
63,78,35,92
65,63,63,63
48,76,76,52
66,90,78,59
70,74,55,55
31,71,63,43
37,69,69,69
65,59,28,63
69,63,35,73
53,27,51,53
60,60,61,64
58,61,60,50
75,67,66,66
57,12,68,82
53,53,73,65
62,79,72,73
57,63,65,65
52,70,52,52
71,75,63,39
56,56,56,45
55,64,63,64
53,54,74,74
51,68,57,53
66,88,42,56
54,76,61,61
72,59,67,53
64,57,71,66
70,64,77,64
53,66,35,35
48,34,57,57
41,55,36,64
57,92,77,59
7,56,66,89
64,71,71,14
41,69,79,74
65,55,65,65
50,52,74,29
53,73,14,57
72,79,71,61
54,68,41,32
65,56,56,71
75,34,39,27
64,62,62,66
70,72,56,56
62,62,83,68
45,60,30,65
47,54,52,63
54,63,86,67
62,68,68,66
72,55,76,26
55,65,77,56
54,51,63,26
33,67,67,64
60,60,65,55
48,82,54,36
70,70,41,62
52,64,9,70
66,78,65,56
60,65,55,55
5,73,73,86
7,77,49,69
64,64,64,64
58,48,78,47
37,79,68,75
